Stats
Health,148
Mana,111
Level,5
Exp,200
Strength,10
Agility,15
Intelligence,25
Defense,26
Dexterity,7

Equipped Gear
HELMET,Fortified Helm
CHESTPLATE,Cracked Shield
LEGGINGS,Agile Greaves
BOOTS,Old Boots
WEAPON,Farmhand's Pitchfork
RING,Copper Band
NECKLACE,Torn Scarf
BRACELET,Ancient Bracers

Inventory
Stick
Old Boots
Rusted Sword
Old Amulet
Cracked Shield
Farmhand's Pitchfork
Canvas Cap
Rusty Sword
Patched Vest
Copper Band
Spellbound Gauntlet
Agile Greaves
Rusty Sword
Torn Scarf
Fortified Helm
Basic Shirt
Bent Dagger
Ancient Bracers
Worn Hat
