87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
87,8,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,8,87
87,8,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,8,87
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
87,8,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,8,87
87,8,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,8,87
87,8,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,8,87
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
87,8,87,7,7,7,7,7,8,87,87,87,87,87,87,87,87,87,8,87
87,8,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,8,87
87,8,87,7,7,7,7,7,7,7,7,7,7,8,87,87,87,87,8,87
87,8,87,8,87,87,87,87,87,87,87,87,87,87,8,87,87,87,8,87
87,8,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,8,87
87,8,87,7,7,7,8,87,87,87,87,87,87,87,87,87,87,87,8,87
87,8,87,7,7,7,7,8,87,87,87,87,87,87,87,87,87,87,8,87
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
