Inventory        Capacity:   /                                 Description
+-----------------------------------------+ +----------------------------+
||                                       || ||                          ||
||                                       || ||                          ||
||                                       || ||                          ||
||                                       || ||                          ||
||                                       || ||                          ||
||                                       || ||                          ||
||                                       || ||                          ||
||                                       || ||                          ||
||                                       || +----------------------------+
||                                       ||                      Character
||                                       || +----------------------------+
||                                       || || Lvl:                     ||
||                                       || ||                          ||
||                                       || ||                          ||
||                                       || || HP:                      ||
||                                       || || MP:                      ||
||                                       || ||                          ||
||                                       || || STR:                     ||
||                                       || || DEF:                     ||
||                                       || || INT:                     ||
||                                       || || DEX:                     ||
||                                       || || AGI:                     ||
+-----------------------------------------+ +----------------------------+
